episode,timestep,reward
32,2000,-27.6562
65,4000,-28.2152
98,6000,-27.7242
131,8000,-31.9061
163,10000,-27.3281
196,12000,-26.2152
229,14000,-36.0697
262,16000,-35.1167
295,18000,-32.6773
327,20000,-21.3766
360,22000,-24.5864
393,24000,-15.2288
426,26000,-34.5652
459,28000,-22.5439
491,30000,-27.7531
524,32000,-27.653
557,34000,-32.0394
590,36000,-42.9136
622,38000,-24.2984
655,40000,-18.9545
688,42000,-22.2864
721,44000,-33.8576
754,46000,-32.9136
786,48000,-23.7719
819,50000,-41.9439
852,52000,-23.7788
885,54000,-43.2485
918,56000,-27.4667
950,58000,-21.0812
983,60000,-42.0848
1016,62000,-13.5682
1049,64000,-28.8742
1081,66000,-30.9656
1114,68000,-20.45
1147,70000,-30.0985
1180,72000,-51.3152
1213,74000,-26.903
1245,76000,-3.4547
1278,78000,-10.0091
1311,80000,-33.2439
1344,82000,-24.7576
1377,84000,-22.453
1409,86000,-33.6156
1442,88000,-28.2727
1475,90000,-26.0121
1508,92000,-21.4333
1540,94000,-26.9891
1573,96000,-21.4045
1606,98000,-24.3303
1639,100000,-25.7045
1672,102000,-35.1848
1704,104000,-22.7937
1737,106000,-30.5606
1770,108000,-16.4864
1803,110000,-19.6788
1836,112000,-30.8545
1868,114000,-30.6844
1901,116000,-31.5182
1934,118000,-23.5758
1967,120000,-46.4864
1999,122000,-26.7609
2032,124000,-20.1894
2065,126000,-23.6788
2098,128000,-16.9227
2131,130000,-18.0545
2163,132000,-32.4375
2196,134000,-19.5864
2229,136000,-23.8727
2262,138000,-31.8682
2295,140000,-19.8833
2327,142000,-30.3469
2360,144000,-32.8045
2393,146000,-18.8242
2426,148000,-11.9561
2459,150000,-32.3455
2491,152000,-24.3125
2524,154000,-24.1636
2557,156000,-28.0667
2590,158000,-33.5167
2622,160000,-9.5312
2655,162000,-18.5682
2688,164000,-28.9818
2721,166000,-23.203
2754,168000,-32.0909
2786,170000,-28.3594
2819,172000,-46.1273
2852,174000,-18.7515
2885,176000,-28.8273
2918,178000,-27.0712
2950,180000,-18.4312
2983,182000,-33.9864
3016,184000,-25.4667
3049,186000,-15.8303
3081,188000,-42.9594
3114,190000,-28.3894
3147,192000,-42.7833
3180,194000,-33.5
3213,196000,-31.3606
3245,198000,-22.6422
3278,200000,-32.7455
3311,202000,-26.8727
3344,204000,-39.8167
3377,206000,-10.4667
3409,208000,-21.1203
3442,210000,-29.0333
3475,212000,-20.8364
3508,214000,-38.4758
3540,216000,-24.4297
3573,218000,-28.4
3606,220000,-18.4061
3639,222000,-24.5091
3672,224000,-40.55
3704,226000,-22.3219
3737,228000,-51.9106
3770,230000,-18.0318
3803,232000,-33.5061
3836,234000,-30.5833
3868,236000,-29.4437
3901,238000,-28.7318
3934,240000,-28.3636
3967,242000,-24.6242
3999,244000,-24.0906
4032,246000,-34.3864
4065,248000,-25.2955
4098,250000,-26.7288
4131,252000,-4.1348
4163,254000,-25.8922
4196,256000,-23.7379
4229,258000,-30.3439
4262,260000,-22.0667
4295,262000,-12.9773
4327,264000,-26.7109
4360,266000,-18.997
4393,268000,-27.3712
4426,270000,-24.0121
4459,272000,-34.5606
4491,274000,-27.5156
4524,276000,-27.4727
4557,278000,-23.8667
4590,280000,-17.153
4622,282000,-24.5219
4655,284000,-19.1455
4688,286000,-15.0106
4721,288000,-29.3197
4754,290000,-18.05
4786,292000,-14.8281
4819,294000,-10.4818
4852,296000,-22.8803
4885,298000,-16.9045
4918,300000,-13.7742
4950,302000,-30.8578
4983,304000,-23.5697
5016,306000,-21.4591
5049,308000,-30.9182
5081,310000,-25.5016
5114,312000,-19.5394
5147,314000,-30.1061
5180,316000,-22.2818
5213,318000,-21.8318
5245,320000,-28.5547
5278,322000,-34.3985
5311,324000,-32.8576
5344,326000,-28.1758
5377,328000,-23.3152
5409,330000,-24.5234
5442,332000,-34.9682
5475,334000,-30.0061
5508,336000,-5.0364
5540,338000,-26.1219
5573,340000,-23.1833
5606,342000,-27.2636
5639,344000,-25.9015
5672,346000,-33.3636
5704,348000,-38.6547
5737,350000,-13.7197
5770,352000,-6.1924
5803,354000,-32.6697
5836,356000,-18.4727
5868,358000,-19.2844
5901,360000,-16.0061
5934,362000,-25.7621
5967,364000,-12.8242
5999,366000,-38.3047
6032,368000,-21.8076
6065,370000,-19.7909
6098,372000,-45.4727
6131,374000,-14.7
6163,376000,-16.6828
6196,378000,-31.1227
6229,380000,-32.2
6262,382000,-20.4288
6295,384000,-22.503
6327,386000,-29.4703
6360,388000,-19.553
6393,390000,-26.3667
6426,392000,-19.7182
6459,394000,-39.8879
6491,396000,-23.1437
6524,398000,-15.4758
6557,400000,-19.7121
6590,402000,-28.5121
6622,404000,-42.5219
6655,406000,-24.8894
6688,408000,-27.0258
