episode,timestep,reward
32,2000,-20.4313
65,4000,-19.7364
98,6000,-17.7652
131,8000,-19.7121
163,10000,-19.0984
196,12000,-17.7348
229,14000,-17.7167
262,16000,-15.2818
295,18000,-17.7364
327,20000,-15.9094
360,22000,-14.403
393,24000,-18.2333
426,26000,-14.9636
459,28000,-11.197
491,30000,-12.9031
524,32000,-12.3333
557,34000,-11.5848
590,36000,-12.2258
622,38000,-10.8813
655,40000,-11.2152
688,42000,-6.6955
721,44000,-7.6788
754,46000,-6.4818
786,48000,-8.6969
819,50000,-4.4545
852,52000,-7.5288
885,54000,-3.3424
918,56000,-3.2394
950,58000,-0.725
983,60000,-3.1636
1016,62000,-2.1879
1049,64000,-1.5424
1081,66000,-1.5625
1114,68000,0.4076
1147,70000,3.1045
1180,72000,3.8394
1213,74000,-0.6864
1245,76000,1.9844
1278,78000,3.4379
1311,80000,2.8955
1344,82000,3.9621
1377,84000,3.3303
1409,86000,6.3469
1442,88000,3.4424
1475,90000,4.9515
1508,92000,3.7333
1540,94000,6.0109
1573,96000,6.3348
1606,98000,6.5697
1639,100000,4.3636
1672,102000,4.6136
1704,104000,5.5328
1737,106000,7.6152
1770,108000,4.9333
1803,110000,7.4121
1836,112000,6.6864
1868,114000,7.8437
1901,116000,5.4182
1934,118000,7.8879
1967,120000,6.5424
1999,122000,7.3937
2032,124000,6.3136
2065,126000,6.2803
2098,128000,6.0076
2131,130000,7.2515
2163,132000,9.3594
2196,134000,8.0561
2229,136000,7.7121
2262,138000,8.4197
2295,140000,8.5682
2327,142000,8.0344
2360,144000,9.5712
2393,146000,7.7333
2426,148000,9.0227
2459,150000,8.8939
2491,152000,10.1703
2524,154000,9.5288
2557,156000,9.1424
2590,158000,7.6364
2622,160000,7.6172
2655,162000,10.0333
2688,164000,8.9439
2721,166000,9.8727
2754,168000,9.1636
2786,170000,9.3281
2819,172000,8.4788
2852,174000,7.8394
2885,176000,9.5045
2918,178000,10.5455
2950,180000,9.3797
2983,182000,8.9924
3016,184000,8.7045
3049,186000,10.6258
3081,188000,8.4609
3114,190000,8.6348
3147,192000,9.6803
3180,194000,9.8576
3213,196000,9.5394
3245,198000,10.0234
3278,200000,9.2197
3311,202000,11.2152
3344,204000,9.3167
3377,206000,9.3409
3409,208000,9.3672
3442,210000,9.0409
3475,212000,10.6727
3508,214000,9.1682
3540,216000,9.7219
3573,218000,9.9864
3606,220000,10.6182
3639,222000,9.6606
3672,224000,10.9197
3704,226000,9.9328
3737,228000,10.297
3770,230000,11.3682
3803,232000,9.7106
3836,234000,9.9682
3868,236000,10.4234
3901,238000,9.2061
3934,240000,10.7758
3967,242000,11.1348
3999,244000,10.0875
4032,246000,9.6303
4065,248000,11.6561
4098,250000,11.5682
4131,252000,10.3606
4163,254000,10.3234
4196,256000,10.0848
