episode,timestep,reward
4,2000,-48.2625
7,4000,-155.3667
11,6000,-50.2
14,8000,-39.1
17,10000,-16.0
20,12000,1.2
24,14000,-21.175
27,16000,-82.1333
33,18000,-35.0
38,20000,-74.8
43,22000,-38.75
47,24000,-69.675
50,26000,-17.5333
54,28000,-30.625
57,30000,-99.6333
62,32000,-85.36
66,34000,-72.325
69,36000,-42.65
74,38000,-36.12
76,40000,-27.425
79,42000,-173.3333
82,44000,-46.9333
87,46000,-23.41
91,48000,-22.9
95,50000,-61.1
100,52000,-88.91
105,54000,-8.4
108,56000,-25.9667
115,58000,-26.4429
117,60000,-17.15
123,62000,-92.6667
127,64000,-17.525
130,66000,-46.2333
133,68000,-45.55
137,70000,-56.6
141,72000,-21.7
144,74000,-183.9667
148,76000,-24.825
152,78000,-31.35
155,80000,-51.2333
158,82000,-96.4333
162,84000,-64.35
164,86000,-5.9
169,88000,-8.22
172,90000,-58.4333
174,92000,1.025
179,94000,-32.24
183,96000,-52.4875
190,98000,-47.4429
193,100000,-30.4
198,102000,-48.9
201,104000,-72.3333
205,106000,-98.975
209,108000,-75.375
213,110000,-12.45
216,112000,-29.2333
220,114000,-19.15
223,116000,-123.7
227,118000,-42.4625
232,120000,-47.36
235,122000,-121.3333
241,124000,-48.9
245,126000,-40.6
248,128000,-21.5667
250,130000,-208.85
257,132000,-49.8857
260,134000,-42.5333
263,136000,-27.1333
266,138000,-27.6833
271,140000,-83.16
274,142000,-93.4333
279,144000,-71.92
284,146000,-41.7
288,148000,-19.6
291,150000,-38.1
294,152000,-68.8667
298,154000,-64.375
302,156000,-99.8
306,158000,-21.325
309,160000,-26.1333
313,162000,-30.075
316,164000,-70.8167
320,166000,-51.2
325,168000,-70.32
329,170000,-69.525
333,172000,-18.45
338,174000,-7.86
341,176000,-21.8333
344,178000,-11.9667
347,180000,-28.7667
351,182000,-156.15
353,184000,-53.45
356,186000,-36.0667
360,188000,-40.525
368,190000,-88.9
371,192000,-2.8333
374,194000,-58.9333
377,196000,-105.7667
381,198000,-51.175
383,200000,-112.15
387,202000,-6.175
392,204000,-31.95
396,206000,-19.325
399,208000,-16.4667
403,210000,-148.375
406,212000,-54.5167
409,214000,-89.4333
413,216000,-58.05
418,218000,-24.74
422,220000,-16.5
425,222000,-18.7
428,224000,-70.4333
432,226000,-32.75
435,228000,-16.4167
439,230000,-8.3
443,232000,-72.675
445,234000,-10.35
450,236000,-16.52
453,238000,-22.1667
457,240000,-27.375
461,242000,-77.7
465,244000,-36.225
469,246000,-51.65
474,248000,-76.74
477,250000,-30.4
481,252000,-40.45
484,254000,-27.9
486,256000,-8.0
489,258000,-88.7
493,260000,-65.125
498,262000,-42.39
503,264000,-9.62
508,266000,-88.14
